ITEM_MDDV_NM,ITEM_SMDV_NM,item_count
식빵,혼합식빵,61
식용유지,식용유,271
식용유지,참기름,72
신선냉동,기타,38
신선냉동,냉동과일,53
신선냉동,냉동수산,17
신선냉동,냉동축산,115
신선냉동,선물세트,1752
쌀/잡곡,곡물선물세트,234
쌀/잡곡,백미,117
쌀/잡곡,상시택배상품,28
쌀/잡곡,잡곡,65
야채,두부/콩나물,163
야채,센터채소,544
야채,직배채소,235
야채,채소가공품,36
양주,기타양주,153
양주,브랜디,37
양주,위스키,848
얼음,대용량얼음,45
얼음,봉지얼음,10
얼음,컵얼음,52
오징어,오징어,573
오징어,오징어(대),176
오징어,오징어(중),42
와인,기타와인,87
와인,레드,1377
와인,소품,29
와인,스파클링(샴페인),162
와인,화이트,433
요구르트,기능성요구르트,267
요구르트,드링킹요구르트,154
요구르트,떠먹는요구르트,210
용기면,라면(대형컵),343
용기면,라면(소형컵),155
용기면,비빔/볶음면,211
용기면,숙면/건면,136
원컵,국산차,101
원컵,믹스커피,151
원컵,원두커피,99
원컵,코코아,36
유제품,마가린,4
유제품,버터,32
유제품,치즈,195
육포,육포,172
육포,육포(대),1
장류,간장,119
장류,기타,15
장류,장,168
전자렌지용찐빵,전자렌지용찐빵,2
전통음료,전통음료(대),14
전통음료,전통음료(소),192
전통음료,전통음료(중),76
젤리,떠먹는젤리,157
젤리,마시는젤리,71
젤리,푸딩,74
젤리류,국산젤리,401
젤리류,수입젤리,513
조리냉동,냉동간식류,202
조리냉동,냉동안주류,119
조리면,기타,4
조리면,조리면,112
조미료,복합조미료/향신료,99
조미료,설탕,45
조미료,소금,52
주스,주스(대),141
주스,주스(소병),327
주스,주스(소캔),120
주스,주스(중),451
즉석간식,군고구마,47
즉석간식,기타,14
즉석간식,어묵,140
즉석조리,기타,542
즉석조리,빅바이트,71
즉석조리,즉석라면,377
즉석조리,즉석피자,19
즉석치킨,기타류,272
즉석치킨,꼬치류,58
즉석치킨,세트류,105
즉석치킨,조각류,60
즉석치킨(삭제예정),기타류_삭제예정,1
즉석치킨(삭제예정),세트류_삭제예정,1
쨈/꿀,꿀,13
쨈/꿀,쨈,96
차,분말차류,149
차,액상차류,186
차,티백차류,290
차음료,기타차,218
차음료,녹차,104
차음료,보리차,47
차음료,옥수수차,45
차음료,홍차,140
초밥류,유부초밥,120
초밥류,정온TEST,6
초밥류,초밥,45
초콜릿,바초콜릿,358
초콜릿,볼초콜릿,643
초콜릿,봉지초콜릿,190
초콜릿,어린이초콜릿,72
초콜릿,판초콜릿,685
초콜릿,행사상품,2640
캔,기타캔,540
캔,농산캔,222
캔,수산캔,88
캔,육가공캔,187
캔,참치캔,178
캔디류,과일향캔디,514
캔디류,기능성캔디,443
캔디류,봉지캔디,299
캔디류,소프트캔디,696
캔디류,토이캔디,889
캔디류,행사상품,2007
커피,믹스커피,297
커피,원두커피,147
커피,커피관련용품,17
커피,커피분말,73
커피,핫초코,35
커피음료,PET커피,88
커피음료,기타,27
커피음료,병커피,52
커피음료,캔커피(보틀),96
커피음료,캔커피(일반),213
컨셉카페,걸프/슬러피,82
컨셉카페,구슬아이스크림,306
컨셉카페,기타,447
컨셉카페,소프트,111
컨셉카페,스무디,19
컵커피,300ml 미만,265
컵커피,300ml 이상,130
탄산음료,과일향탄산(대),19
탄산음료,과일향탄산(소),209
탄산음료,과일향탄산(중),206
탄산음료,사이다(대),15
탄산음료,사이다(소),22
탄산음료,사이다(중),31
탄산음료,제로탄산,95
탄산음료,콜라(대),12
탄산음료,콜라(소),45
탄산음료,콜라(중),34
파우치,기타,20
파우치,아이스커피,457
파우치,아이스티,386
팝콘,팝콘,9
푸드 간편식,기타,51
푸드 간편식,안주/반찬,149
푸드 간편식,조리면,197
프로틴 음료,250ml 미만,28
프로틴 음료,250ml 이상,55
프로틴/시리얼,기타 (삭제예정),1
프로틴/시리얼,시리얼,32
프로틴/시리얼,영양바류,126
프로틴/시리얼,영양식품(비타민),36
프로틴/시리얼,행사상품,76
프로틴/시리얼,환자식,12
프리미엄,냉동생지,13
프리미엄,베이커리,155
프리미엄,직납빵,181
하이볼,국산하이볼,488
하이볼,수입하이볼,123
햄버거,핫도그/머핀,98
햄버거,햄버거,706
호빵,만두,56
호빵,호빵,448
홈타입,기타,4
홈타입,멀티,57
홈타입,카톤,141
흰우유,흰우유(대),71
흰우유,흰우유(소),92
흰우유,흰우유(중),40
