ITEM_LRDV_NM,ITEM_MDDV_NM,ITEM_SMDV_NM,item_count
전통주,막걸리,살균막걸리,70
전통주,소주,증류식소주,70
조미료/건물,분말가루,밀가루/프리믹스,67
신선,쌀/잡곡,잡곡,65
면,봉지면,숙면/건면,63
냉장,냉장간식,기타,62
빵,식빵,혼합식빵,61
즉석 식품,즉석치킨,조각류,60
즉석 식품,즉석치킨,꼬치류,58
조미료/건물,소스류,식초류,57
디저트,시즌케익,기타,57
아이스크림,홈타입,멀티,57
유음료,기능성우유,기능성 우유,56
안주,생선류,쥐포,56
빵,호빵,만두,56
전통주,기타전통주,청주,55
유음료,프로틴 음료,250ml 이상,55
전통주,기타전통주,약주,55
유음료,냉장주스,냉장주스(대),55
신선,수축산/계란,축산,54
간식,냉장간식,기타,53
냉동,신선냉동,냉동과일,53
맥주,국산맥주,PET맥주,53
신선,수축산/계란,수산,53
즉석음료,얼음,컵얼음,52
음료,커피음료,병커피,52
냉동,냉동간편식,냉동간식류,52
조미료/건물,조미료,소금,52
미반,푸드 간편식,기타,51
양주와인,선물세트,일반선물세트,51
가공식품,상온간편식,건면,50
냉장,냉장간편식,냉장죽,50
냉장,냉장간편식,냉장밥,49
건강/기호식품,숙취해소제,젤리제형,48
간식,샐러드(삭제예정),채소샐러드(삭제예정),48
즉석 식품,즉석간식,군고구마,47
음료,차음료,보리차,47
음료,탄산음료,콜라(소),45
음료,차음료,옥수수차,45
미반,초밥류,초밥,45
조미료/건물,조미료,설탕,45
안주,농산안주,과일,45
즉석음료,얼음,대용량얼음,45
냉동,냉동디저트,냉동빵,44
디저트,가공과일,과일도시락,43
안주,오징어,오징어(중),42
유음료,흰우유,흰우유(중),40
음료,생수,프리미엄생수,40
냉동,신선냉동,기타,38
유음료,기능성우유,기능성 음료,37
안주,너트류,캔너트,37
양주와인,양주,브랜디,37
건강/기호식품,원컵,코코아,36
신선,야채,채소가공품,36
건강/기호식품,숙취해소제,기타제형,36
과자,프로틴/시리얼,영양식품(비타민),36
빵,구움과자,대용량구움과자,35
건강/기호식품,커피,핫초코,35
간식,냉장피자,파스타/그라탕,34
음료,탄산음료,콜라(중),34
과자,프로틴/시리얼,시리얼,32
간식,냉장피자,브리또,32
유음료,유제품,버터,32
음료,탄산음료,사이다(중),31
아이스크림,고급,구슬아이스,29
양주와인,와인,소품,29
신선,쌀/잡곡,상시택배상품,28
유음료,프로틴 음료,250ml 미만,28
안주,스낵안주,김스낵,28
신선,과일,가공과일,28
음료,커피음료,기타,27
간식,냉장간식,냉장간식,27
아이스크림,노벨티,기타,27
맥주,무알콜맥주,무알콜맥주(국산),25
냉장,냉장간편식,밀키트,25
가공식품,기타,기타,23
음료,탄산음료,사이다(소),22
건강/기호식품,건강/이너뷰티,이너뷰티,21
즉석음료,파우치,기타,20
음료,기능성드링크,선물세트,20
냉장,냉장안주,수산안주,19
즉석음료,컨셉카페,스무디,19
맥주,무알콜맥주,무알콜맥주(수입),19
음료,탄산음료,과일향탄산(대),19
즉석 식품,즉석조리,즉석피자,19
냉동,신선냉동,냉동수산,17
건강/기호식품,커피,커피관련용품,17
미반,삼각김밥,정온TEST,17
조미료/건물,장류,기타,15
음료,탄산음료,사이다(대),15
즉석 식품,즉석간식,기타,14
음료,스포츠음료,스포츠음료(대),14
음료,전통음료,전통음료(대),14
조미료/건물,소스류,소스,13
빵,프리미엄,냉동생지,13
건강/기호식품,쨈/꿀,꿀,13
유음료,냉장주스,냉장주스(중),13
과자,프로틴/시리얼,환자식,12
음료,탄산음료,콜라(대),12
즉석음료,기타음료_삭제예정,소프트콘_삭제예정,12
즉석음료,기타음료_삭제예정,슬러피_삭제예정,11
즉석음료,얼음,봉지얼음,10
조미료/건물,팝콘,팝콘,9
조리빵,샐러드모닝랩,모닝빵샌드,9
커피/차,선물세트,일반선물세트,9
맥주,생맥주,생맥주,7
미반,도시락,정온TEST,7
유음료,기능성우유,기능성우유(중),7
디저트,냉동디저트,냉동빵,6
미반,초밥류,정온TEST,6
디저트,냉동디저트,냉동떡,6
조리빵,샐러드모닝랩,샐러드랩,4
아이스크림,홈타입,기타,4
유음료,유제품,마가린,4
디저트,냉동디저트,냉동기타,4
간식,조리면,기타,4
맥주,국산맥주,캔맥주(대),4
맥주,생맥주,생맥주20L,3
냉동,냉동디저트,냉동떡,3
안주,스낵안주,어육스낵,3
빵,전자렌지용찐빵,전자렌지용찐빵,2
과자,프로틴/시리얼,기타 (삭제예정),1
